FBID	logFC_ActVsCs	logCPM_ActVsCs	LR_ActVsCs	PValue_ActVsCs	logFC_RepVsCs	logCPM_RepVsCs	LR_RepVsCs	PValue_RepVsCs
Mlh1	-1.27188184941471	4.39768062819882	16.1169214690779	5.95495766666986e-05	-0.251995439434284	4.39768062819882	0.66533969487493	0.414681135400097
mmd	-0.387710006500091	2.05987703707766	0.70692453623805	0.400466685825156	-0.149391245711083	2.05987703707766	0.105922055282855	0.744835458321579
MME1	-0.473887372277237	4.86919300625821	2.93774952905767	0.086531215602722	-0.149613212653171	4.86919300625821	0.295288062040779	0.586851574179729
Mmp1	0.460677432159326	7.12537435778876	1.65972297083491	0.197640731928185	-0.203751921948022	7.12537435778876	0.325098400936781	0.568559682344312
Mmp2	0.0878088946347701	8.06292368054893	0.06640144142807	0.796650199933854	0.0875910820776141	8.06292368054893	0.0660621588267531	0.797159011172316
Mms19	-1.19481435546062	5.42994551602532	16.6871751444477	4.40779749650216e-05	-0.275004081084375	5.42994551602532	0.916743058112347	0.338331594513592
mms4	-2.12362410020786	1.36168212480317	12.176764457029	0.000483885053144041	-0.897366319985396	1.36168212480317	2.46400696144127	0.11648129797263
mmy	0.281302119689106	6.49600109748539	1.19537658144603	0.274247712709519	-0.440227748412211	6.49600109748539	2.90194850890961	0.0884725480890918
mnb	-0.0256747237472379	6.14105421113398	0.00927501992942492	0.923276827271845	0.478114790867327	6.14105421113398	3.21477372242337	0.072976280756941
mnd	1.57539634081556	7.05494096070324	32.2779951897876	1.33617987478375e-08	0.953829019392679	7.05494096070324	12.1331843440627	0.000495324694744019
Mnn1	0.31893791906916	5.23508350710663	1.38246090137049	0.239682410725966	0.363209370298422	5.23508350710663	1.79060003883126	0.18085307127252
Mnt	-0.0510395158747569	8.3370862172699	0.0284649892242896	0.866020264809847	0.10446384369629	8.3370862172699	0.119232847352919	0.729868022303751
Mo25	-0.420197926963509	7.32426317266744	2.25897830558068	0.132841677156205	-0.095561186134383	7.32426317266744	0.117320614839599	0.731958865603415
Mob2	0.535730230628237	7.42577531812533	2.75056015878073	0.0972203627620022	-0.306995246628078	7.42577531812533	0.904332335109701	0.341622702885918
Mob3	-1.073995509146	4.04666137162307	13.3973024311868	0.000251986434408211	-0.731629786432059	4.04666137162307	6.33660285205746	0.0118271186091898
Mob4	-1.43733106857035	6.24954078871581	31.4614202890706	2.03442511704568e-08	-0.273665960190762	6.24954078871581	1.19680244489592	0.273961704389348
Moca-cyp	-0.120345192319295	6.70783924226302	0.212409049235877	0.644885732996009	0.493535999180905	6.70783924226302	3.56885176046384	0.058873007309478
Mocs1	0.0236423898357031	6.46340202039616	0.00687742995715723	0.933906983637956	-0.563423302356582	6.46340202039616	3.86394069921323	0.0493343270764858
mod	0.629894890364303	9.2099231829959	3.66406351280853	0.0555978796516709	0.352016636914073	9.2099231829959	1.15021265759685	0.283504637367945
mod(mdg4)	-0.669941176697415	8.44758935409693	5.04702666759761	0.0246682345059973	-0.00101692764029607	8.44758935409693	1.17426964152401e-05	0.997265845019468
Moe	1.27289843695741	10.2498529071522	18.6768317636565	1.54852659249072e-05	0.718032765268303	10.2498529071522	6.06780240017315	0.0137668142950814
mof	-0.837349185682289	5.45675608634286	9.56007743986693	0.00198854719411502	-0.560356744613405	5.45675608634286	4.32363513108825	0.0375865462517643
mol	3.704629350817	0.434190579938903	14.4066935197023	0.000147277882024369	1.52683087608783	0.434190579938903	2.34629375078979	0.125581262972475
Mon1	-1.31424506834473	3.95152835856013	15.1988449766557	9.67625869572478e-05	-0.431615793928807	3.95152835856013	1.7237725359837	0.189208160153142
mon2	-0.604231066713011	7.02860918483562	3.93870793552695	0.0471870069592159	-0.223314324552063	7.02860918483562	0.541919162022396	0.461638450035642
Mondo	0.337069186749531	7.914156770175	1.37849175123753	0.24035822408411	0.410127079270676	7.914156770175	2.03854111682051	0.153356664456032
moody	0.611398212939782	7.77323616029423	4.1175580895374	0.0424402956400275	0.53194011970256	7.77323616029423	3.12116213583201	0.0772816490774765
mop	-0.274843928884727	7.18724037058372	0.757823259320901	0.38401058767007	-0.048757219915017	7.18724037058372	0.0238932532015497	0.8771568326629
mor	0.000682541847197017	7.3400200572499	6.11714369824767e-06	0.998026605288323	0.033277954000446	7.3400200572499	0.0145377486978067	0.904029582930703
morgue	-0.72455950744718	4.08933870800136	6.1778003214439	0.0129363001533858	0.0596577756913414	4.08933870800136	0.0432632641550899	0.835230348501722
Mos	2.81897937178262	0.570665507412029	13.2616192024787	0.000270895561798092	-0.395057957735039	0.570665507412029	0.208622525673693	0.647849203053996
MP1	0.00243886058472276	6.3986122078553	7.460335586984e-05	0.993108498684438	-0.139152194983673	6.3986122078553	0.242381412137593	0.622491399520407
